Metodo,Error_F,Error_rel
"MSB sin cifrado",22222.2893510097,0.265167938779164
"MSB + César (k=3)",22184.656319177,0.264718881829024
"MSB + ElGamal (p=257, K=123)",20348.3770360194,0.242807440354805
"MSB + Sustitución (monoalfabética)",21874.1476633948,0.261013730711319
"MSB + Vigenère (key=CLAVE)",22027.1599621921,0.26283955321048
